2025-05-25 19:59:10,849 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:10,849 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:10,849 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:10,849 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:10,849 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:10,849 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:10,849 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:14,430 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-25 19:59:38,143 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
