2025-06-03 12:52:55,687 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:52:55,687 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:52:55,687 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:52:55,938 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:52:55,938 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:52:55,938 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:52:58,563 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:52:58,563 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:52:58,563 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:52:58,564 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:52:58,564 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:52:58,564 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:52:58,807 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:52:58,807 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:52:58,807 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:52:58,809 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:52:58,809 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:52:58,809 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:00,593 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:00,593 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:00,593 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:00,833 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:00,833 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:00,833 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-03 12:53:02,642 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:02,642 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:02,642 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:02,883 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:02,883 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:02,883 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:04,695 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:04,695 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:04,695 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:04,696 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:04,696 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:04,696 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:04,918 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:04,918 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:04,918 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-03 12:53:04,918 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:04,918 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:04,918 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-03 12:53:10,340 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:53:10,340 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:53:10,340 | INFO     | PolicyEmbeddings | Found 3 matching documents
2025-06-03 12:53:29,680 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:29,680 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:29,680 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:29,680 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:29,680 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:29,848 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:29,848 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:29,848 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:29,848 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:29,848 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-03 12:53:32,258 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,258 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,258 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,258 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,258 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,260 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:32,260 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:32,260 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:32,260 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:32,260 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-03 12:53:32,379 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,379 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,379 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,379 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,379 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-03 12:53:32,380 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
