2025-05-27 13:30:08,625 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:30:08,625 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:30:08,625 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:30:08,625 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:30:08,625 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:30:08,625 | INFO     | HybridRetriever | Retrieved 3 relevant policies
2025-05-27 13:31:24,467 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:31:24,467 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:31:24,467 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:31:24,467 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:31:24,467 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:31:24,467 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:31:24,467 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:15,855 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:15,855 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:15,855 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:15,855 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:15,855 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:15,855 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:15,855 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:15,855 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
2025-05-27 13:37:34,192 | INFO     | HybridRetriever | Loaded 5 document chunks from data/policy_docs
