2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,639 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,652 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:24,662 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:56:26,827 | INFO     | PolicyEmbeddings | Created embeddings with shape (5, 1536)
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,575 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,595 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,618 | INFO     | PolicyEmbeddings | Loaded 5 document chunks
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,639 | INFO     | PolicyEmbeddings | Creating embeddings for documents
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-25 19:57:06,834 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
