2025-05-27 13:13:14,986 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing embeddings
2025-05-27 13:13:14,986 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing embeddings
2025-05-27 13:13:14,986 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing embeddings
2025-05-27 13:13:14,997 | INFO     | PolicyEmbeddings | Loaded 5 documents and embeddings from FAISS storage
2025-05-27 13:13:14,997 | INFO     | PolicyEmbeddings | Loaded 5 documents and embeddings from FAISS storage
2025-05-27 13:13:14,997 | INFO     | PolicyEmbeddings | Loaded 5 documents and embeddings from FAISS storage
2025-05-27 13:13:14,998 | INFO     | PolicyEmbeddings | Embeddings already loaded and up to date
2025-05-27 13:13:14,998 | INFO     | PolicyEmbeddings | Embeddings already loaded and up to date
2025-05-27 13:13:14,998 | INFO     | PolicyEmbeddings | Embeddings already loaded and up to date
2025-05-27 13:13:15,277 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:13:15,277 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:13:15,277 | INFO     | PolicyEmbeddings | Successfully initialized Azure OpenAI client
2025-05-27 13:13:15,278 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:13:15,278 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:13:15,278 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-05-27 13:13:15,279 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing embeddings
2025-05-27 13:13:15,279 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing embeddings
2025-05-27 13:13:15,279 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing embeddings
2025-05-27 13:13:15,281 | INFO     | PolicyEmbeddings | Loaded 5 documents and embeddings from FAISS storage
2025-05-27 13:13:15,281 | INFO     | PolicyEmbeddings | Loaded 5 documents and embeddings from FAISS storage
