2025-06-06 00:15:36,152 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
2025-06-06 00:15:52,183 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 00:15:52,183 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 00:44:38,942 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 00:44:38,942 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:16:30,585 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:16:30,585 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:28:04,565 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:28:04,565 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:29:52,329 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:29:52,329 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:55:46,932 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:55:46,932 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:58:38,699 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 01:58:38,699 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:04:47,466 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:04:47,466 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:07:24,338 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:07:24,338 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:09:48,780 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:09:48,780 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:10:09,150 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:10:09,150 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:10:31,132 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:10:31,132 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:15:19,596 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:15:19,596 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:15:49,101 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:15:49,101 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:18:31,189 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:18:31,189 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:20:00,907 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:20:00,907 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:20:24,678 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:20:24,678 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:28:36,769 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 02:28:36,769 | INFO     | PolicyEmbeddings | Found 5 matching documents
2025-06-06 12:15:32,299 | INFO     | PolicyEmbeddings | Successfully connected to Qdrant at localhost:6333
2025-06-06 12:15:35,169 | INFO     | PolicyEmbeddings | Successfully initialized OpenAI client
2025-06-06 12:15:35,170 | INFO     | PolicyEmbeddings | Loading documents from data/policy_docs
2025-06-06 12:15:37,234 | INFO     | PolicyEmbeddings | No policy changes detected, loading existing documents
2025-06-06 12:15:39,292 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 12:15:41,336 | INFO     | PolicyEmbeddings | Loaded 5 documents from Qdrant
2025-06-06 12:15:41,337 | INFO     | PolicyEmbeddings | Embeddings already exist in Qdrant
